x in Angstrom	y
4126,0000	-214,1681
4127,0000	-214,1681
4128,0000	-214,1681
4129,0000	-214,1681
4130,0000	-214,1681
4131,0000	-214,1681
4132,0000	-214,1681
4133,0000	-214,1681
4134,0000	-214,1681
4135,0000	-214,1681
4136,0000	-214,1681
4137,0000	-214,1681
4138,0000	-214,1681
4139,0000	-214,1681
4140,0000	-214,1681
4141,0000	-214,1681
4142,0000	-214,1681
4143,0000	-214,1681
4144,0000	-214,1681
4145,0000	-214,1681
4146,0000	-214,1681
4147,0000	-214,1681
4148,0000	-214,1681
4149,0000	-214,1681
4150,0000	-214,1681
4151,0000	-214,1681
4152,0000	-214,1681
4153,0000	-214,1681
4154,0000	-214,1681
4155,0000	-214,1681
4156,0000	-214,1681
4157,0000	-214,1681
4158,0000	-214,1681
4159,0000	-214,1681
4160,0000	-214,1681
4161,0000	-214,1681
4162,0000	-214,1681
4163,0000	-214,1681
4164,0000	-214,1681
4165,0000	-214,1681
4166,0000	-214,1681
4167,0000	-214,1681
4168,0000	-214,1681
4169,0000	-214,1681
4170,0000	-214,1681
4171,0000	-214,1681
4172,0000	-214,1681
4173,0000	-214,1681
4174,0000	-214,1681
4175,0000	-214,1681
4176,0000	-214,1681
4177,0000	-214,1681
4178,0000	-214,1681
4179,0000	-214,1681
4180,0000	-214,1681
4181,0000	-214,1681
4182,0000	-214,1681
4183,0000	-214,1681
4184,0000	-214,1681
4185,0000	-214,1681
4186,0000	-214,1681
4187,0000	-214,1681
4188,0000	-214,1681
4189,0000	-214,1681
4190,0000	-214,1681
4191,0000	-214,1681
4192,0000	-214,1681
4193,0000	-214,1681
4194,0000	-214,1681
4195,0000	-214,1681
4196,0000	-214,1681
4197,0000	-214,1681
4198,0000	-214,1681
4199,0000	-214,1681
4200,0000	-214,1681
4201,0000	-214,1681
4202,0000	-214,1681
4203,0000	-214,1681
4204,0000	-214,1681
4205,0000	-214,1681
4206,0000	-214,1681
4207,0000	-214,1681
4208,0000	-214,1681
4209,0000	-214,1681
4210,0000	-214,1681
4211,0000	-214,1681
4212,0000	-214,1681
4213,0000	-214,1681
4214,0000	-214,1681
4215,0000	-214,1681
4216,0000	-214,1681
4217,0000	-214,1681
4218,0000	-214,1681
4219,0000	-214,1681
4220,0000	-214,1681
4221,0000	-214,1681
4222,0000	-214,1681
4223,0000	-214,1681
4224,0000	-214,1681
4225,0000	-214,1681
4226,0000	-214,1681
4227,0000	-214,1681
4228,0000	-214,1681
4229,0000	-214,1681
4230,0000	-214,1681
4231,0000	-214,1681
4232,0000	-214,1681
4233,0000	-214,1681
4234,0000	-214,1681
4235,0000	-214,1681
4236,0000	-214,1681
4237,0000	-214,1681
4238,0000	-214,1681
4239,0000	-214,1681
4240,0000	-214,1681
4241,0000	-214,1681
4242,0000	-214,1681
4243,0000	-214,1681
4244,0000	-214,1681
4245,0000	-214,1681
4246,0000	-214,1681
4247,0000	-214,1681
4248,0000	-214,1681
4249,0000	-214,1681
4250,0000	-214,1681
4251,0000	-214,1681
4252,0000	-214,1681
4253,0000	-214,1681
4254,0000	-214,1681
4255,0000	-214,1681
4256,0000	-214,1681
4257,0000	-214,1681
4258,0000	-214,1681
4259,0000	-214,1681
4260,0000	-214,1681
4261,0000	-214,1681
4262,0000	-214,1681
4263,0000	-214,1681
4264,0000	-214,1681
4265,0000	-214,1681
4266,0000	-214,1681
4267,0000	-214,1681
4268,0000	-214,1681
4269,0000	-214,1681
4270,0000	-214,1681
4271,0000	-214,1681
4272,0000	-214,1681
4273,0000	-214,1681
4274,0000	-214,1681
4275,0000	-214,1681
4276,0000	-214,1681
4277,0000	-214,1681
4278,0000	-214,1681
4279,0000	-214,1681
4280,0000	-214,1681
4281,0000	-214,1681
4282,0000	-214,1681
4283,0000	-214,1681
4284,0000	-214,1681
4285,0000	-214,1681
4286,0000	-214,1681
4287,0000	-214,1681
4288,0000	-214,1681
4289,0000	-214,1681
4290,0000	-214,1681
4291,0000	-214,1681
4292,0000	-214,1681
4293,0000	-214,1681
4294,0000	-214,1681
4295,0000	-214,1681
4296,0000	-214,1681
4297,0000	-214,1681
4298,0000	-214,1681
4299,0000	-214,1681
4300,0000	-214,1681
4301,0000	-214,1681
4302,0000	-214,1681
4303,0000	-214,1681
4304,0000	-214,1681
4305,0000	-214,1681
4306,0000	-214,1681
4307,0000	-214,1681
4308,0000	-214,1681
4309,0000	-214,1681
4310,0000	-214,1681
