Time,CH A,
1.1906E-5,-1.212E-2,
1.1931E-5,2.788E-2,
1.1956E-5,-1.212E-2,
1.1981E-5,2.788E-2,
1.2006E-5,-3.212E-2,
1.2031E-5,2.788E-2,
1.2056E-5,-3.212E-2,
1.2081E-5,2.788E-2,
1.21061E-5,-1.212E-2,
1.21311E-5,2.788E-2,
1.21561E-5,-1.212E-2,
1.21811E-5,2.788E-2,
1.22061E-5,-1.212E-2,
1.22311E-5,7.88E-3,
1.22561E-5,-1.212E-2,
1.22811E-5,2.788E-2,
1.23062E-5,-3.212E-2,
1.23312E-5,2.788E-2,
1.23562E-5,-3.212E-2,
1.23812E-5,2.788E-2,
1.24062E-5,-3.212E-2,
1.24312E-5,2.788E-2,
1.24562E-5,-1.212E-2,
1.24812E-5,2.788E-2,
1.25063E-5,-1.212E-2,
1.25313E-5,2.788E-2,
1.25563E-5,-3.212E-2,
1.25813E-5,2.788E-2,
1.26063E-5,-1.212E-2,
1.26313E-5,2.788E-2,
1.26563E-5,-1.212E-2,
1.26813E-5,2.788E-2,
1.27064E-5,-1.212E-2,
1.27314E-5,2.788E-2,
1.27564E-5,-1.212E-2,
1.27814E-5,2.788E-2,
1.28064E-5,-1.212E-2,
1.28314E-5,2.788E-2,
1.28564E-5,-3.212E-2,
1.28814E-5,2.788E-2,
1.29065E-5,-1.212E-2,
1.29315E-5,2.788E-2,
1.29565E-5,-1.212E-2,
1.29815E-5,2.788E-2,
1.30065E-5,-1.212E-2,
1.30315E-5,2.788E-2,
1.30565E-5,-3.212E-2,
1.30815E-5,2.788E-2,
1.31066E-5,-3.212E-2,
1.31316E-5,4.788E-2,
1.31566E-5,-1.212E-2,
1.31816E-5,4.788E-2,
1.32066E-5,-3.212E-2,
1.32316E-5,2.788E-2,
1.32566E-5,-1.212E-2,
1.32816E-5,2.788E-2,
1.33067E-5,-1.212E-2,
1.33317E-5,2.788E-2,
1.33567E-5,-1.212E-2,
1.33817E-5,2.788E-2,
1.34067E-5,-3.212E-2,
1.34317E-5,2.788E-2,
1.34567E-5,-3.212E-2,
1.34817E-5,2.788E-2,
1.35068E-5,-1.212E-2,
1.35318E-5,2.788E-2,
1.35568E-5,-1.212E-2,
1.35818E-5,2.788E-2,
1.36068E-5,-1.212E-2,
1.36318E-5,2.788E-2,
1.36568E-5,-1.212E-2,
1.36818E-5,2.788E-2,
1.37069E-5,-1.212E-2,
1.37319E-5,2.788E-2,
1.37569E-5,-1.212E-2,
1.37819E-5,2.788E-2,
1.38069E-5,-3.212E-2,
1.38319E-5,2.788E-2,
1.38569E-5,-1.212E-2,
1.38819E-5,2.788E-2,
1.3907E-5,-1.212E-2,
1.3932E-5,2.788E-2,
1.3957E-5,-3.212E-2,
1.3982E-5,4.788E-2,
1.4007E-5,-1.212E-2,
1.4032E-5,2.788E-2,
1.4057E-5,-1.212E-2,
1.4082E-5,2.788E-2,
1.41071E-5,-1.212E-2,
1.41321E-5,2.788E-2,
1.41571E-5,-1.212E-2,
1.41821E-5,2.788E-2,
1.42071E-5,-1.212E-2,
1.42321E-5,2.788E-2,
1.42571E-5,-1.212E-2,
1.42821E-5,2.788E-2,
1.43072E-5,-3.212E-2,
1.43322E-5,2.788E-2,
1.43572E-5,-1.212E-2,
1.43822E-5,2.788E-2,
1.44072E-5,-1.212E-2,
1.44322E-5,2.788E-2,
1.44572E-5,-3.212E-2,
1.44822E-5,2.788E-2,
1.45073E-5,-1.212E-2,
1.45323E-5,2.788E-2,
1.45573E-5,-1.212E-2,
1.45823E-5,2.788E-2,
1.46073E-5,-1.212E-2,
1.46323E-5,2.788E-2,
1.46573E-5,-3.212E-2,
1.46823E-5,2.788E-2,
1.47074E-5,-1.212E-2,
1.47324E-5,2.788E-2,
1.47574E-5,-3.212E-2,
1.47824E-5,2.788E-2,
1.48074E-5,-1.212E-2,
1.48324E-5,2.788E-2,
1.48574E-5,-1.212E-2,
1.48824E-5,2.788E-2,
1.49075E-5,-1.212E-2,
1.49325E-5,2.788E-2,
1.49575E-5,-1.212E-2,
1.49825E-5,4.788E-2,
1.50075E-5,-1.212E-2,
1.50325E-5,4.788E-2,
1.50575E-5,-1.212E-2,
1.50825E-5,2.788E-2,
1.51076E-5,-1.212E-2,
1.51326E-5,2.788E-2,
1.51576E-5,-1.212E-2,
1.51826E-5,4.788E-2,
1.52076E-5,-1.212E-2,
1.52326E-5,4.788E-2,
1.52576E-5,-1.212E-2,
1.52826E-5,2.788E-2,
1.53077E-5,-1.212E-2,
1.53327E-5,4.788E-2,
1.53577E-5,-1.212E-2,
1.53827E-5,2.788E-2,
1.54077E-5,-1.212E-2,
1.54327E-5,4.788E-2,
1.54577E-5,-1.212E-2,
1.54827E-5,4.788E-2,
1.55078E-5,-1.212E-2,
1.55328E-5,2.788E-2,
1.55578E-5,-1.212E-2,
1.55828E-5,4.788E-2,
1.56078E-5,-1.212E-2,
1.56328E-5,4.788E-2,
1.56578E-5,-1.212E-2,
1.56828E-5,4.788E-2,
1.57079E-5,-1.212E-2,
1.57329E-5,4.788E-2,
1.57579E-5,-1.212E-2,
1.57829E-5,4.788E-2,
1.58079E-5,7.88E-3,
1.58329E-5,4.788E-2,
1.58579E-5,7.88E-3,
1.58829E-5,4.788E-2,
1.5908E-5,7.88E-3,
1.5933E-5,4.788E-2,
1.5958E-5,-1.212E-2,
1.5983E-5,4.788E-2,
1.6008E-5,7.88E-3,
1.6033E-5,4.788E-2,
1.6058E-5,7.88E-3,
1.6083E-5,4.788E-2,
1.61081E-5,7.88E-3,
1.61331E-5,6.788E-2,
1.61581E-5,7.88E-3,
1.61831E-5,4.788E-2,
1.62081E-5,7.88E-3,
1.62331E-5,6.788E-2,
1.62581E-5,7.88E-3,
