[s],CH1[V]
3.65420E-01,-5.029E+00
3.65440E-01,-5.029E+00
3.65460E-01,-5.029E+00
3.65480E-01,-4.829E+00
3.65500E-01,-5.029E+00
3.65520E-01,-5.029E+00
3.65540E-01,-5.229E+00
3.65560E-01,-4.829E+00
3.65580E-01,-5.029E+00
3.65600E-01,-5.229E+00
3.65620E-01,-5.029E+00
3.65640E-01,-4.829E+00
3.65660E-01,-4.829E+00
3.65680E-01,-5.029E+00
3.65700E-01,-4.829E+00
3.65720E-01,-5.029E+00
3.65740E-01,-4.829E+00
3.65760E-01,-5.029E+00
3.65780E-01,-5.029E+00
3.65800E-01,-4.829E+00
3.65820E-01,-5.029E+00
3.65840E-01,-4.829E+00
3.65860E-01,-4.829E+00
3.65880E-01,-4.829E+00
3.65900E-01,-4.829E+00
3.65920E-01,-4.829E+00
3.65940E-01,-5.029E+00
3.65960E-01,-4.829E+00
3.65980E-01,-5.029E+00
3.66000E-01,-5.029E+00
3.66020E-01,-4.829E+00
3.66040E-01,-4.829E+00
3.66060E-01,-5.029E+00
3.66080E-01,-5.029E+00
3.66100E-01,-5.029E+00
3.66120E-01,-5.029E+00
3.66140E-01,-4.829E+00
3.66160E-01,-5.029E+00
3.66180E-01,-5.029E+00
3.66200E-01,-4.829E+00
3.66220E-01,-4.829E+00
3.66240E-01,-4.829E+00
3.66260E-01,-4.829E+00
3.66280E-01,-5.029E+00
3.66300E-01,-5.029E+00
3.66320E-01,-5.029E+00
3.66340E-01,-5.029E+00
3.66360E-01,-5.029E+00
3.66380E-01,-4.829E+00
3.66400E-01,-5.029E+00
3.66420E-01,-5.029E+00
3.66440E-01,-5.029E+00
3.66460E-01,-5.029E+00
3.66480E-01,-5.029E+00
3.66500E-01,-5.029E+00
3.66520E-01,-4.829E+00
3.66540E-01,-4.829E+00
3.66560E-01,-5.029E+00
3.66580E-01,-5.029E+00
3.66600E-01,-5.029E+00
3.66620E-01,-5.029E+00
3.66640E-01,-5.029E+00
3.66660E-01,-5.229E+00
3.66680E-01,-4.829E+00
3.66700E-01,-5.029E+00
3.66720E-01,-5.029E+00
3.66740E-01,-5.229E+00
3.66760E-01,-5.029E+00
3.66780E-01,-5.029E+00
3.66800E-01,-5.029E+00
3.66820E-01,-5.029E+00
3.66840E-01,-5.029E+00
3.66860E-01,-5.029E+00
3.66880E-01,-4.829E+00
3.66900E-01,-5.029E+00
3.66920E-01,-5.029E+00
3.66940E-01,-5.029E+00
3.66960E-01,-4.829E+00
3.66980E-01,-5.029E+00
3.67000E-01,-5.029E+00
3.67020E-01,-5.029E+00
3.67040E-01,-5.029E+00
3.67060E-01,-4.829E+00
3.67080E-01,-5.029E+00
3.67100E-01,-5.029E+00
3.67120E-01,-5.029E+00
3.67140E-01,-5.029E+00
3.67160E-01,-5.029E+00
3.67180E-01,-4.829E+00
3.67200E-01,-4.829E+00
3.67220E-01,-5.029E+00
3.67240E-01,-5.029E+00
3.67260E-01,-5.029E+00
3.67280E-01,-4.829E+00
3.67300E-01,-5.029E+00
3.67320E-01,-4.829E+00
3.67340E-01,-4.829E+00
3.67360E-01,-5.029E+00
3.67380E-01,-5.029E+00
3.67400E-01,-5.029E+00
3.67420E-01,-4.829E+00
3.67440E-01,-5.029E+00
3.67460E-01,-5.029E+00
3.67480E-01,-4.829E+00
3.67500E-01,-4.829E+00
3.67520E-01,-5.029E+00
3.67540E-01,-4.829E+00
3.67560E-01,-4.829E+00
3.67580E-01,-5.029E+00
3.67600E-01,-5.029E+00
3.67620E-01,-4.829E+00
3.67640E-01,-5.029E+00
3.67660E-01,-5.029E+00
3.67680E-01,-4.829E+00
3.67700E-01,-4.829E+00
3.67720E-01,-5.029E+00
3.67740E-01,-5.029E+00
3.67760E-01,-5.029E+00
3.67780E-01,-5.029E+00
3.67800E-01,-5.029E+00
3.67820E-01,-4.829E+00
3.67840E-01,-4.829E+00
3.67860E-01,-5.029E+00
3.67880E-01,-4.829E+00
3.67900E-01,-5.029E+00
3.67920E-01,-5.029E+00
3.67940E-01,-4.829E+00
3.67960E-01,-5.029E+00
3.67980E-01,-4.829E+00
3.68000E-01,-5.029E+00
3.68020E-01,-5.029E+00
3.68040E-01,-4.829E+00
3.68060E-01,-5.029E+00
3.68080E-01,-5.029E+00
3.68100E-01,-4.829E+00
3.68120E-01,-4.829E+00
3.68140E-01,-4.829E+00
3.68160E-01,-4.829E+00
3.68180E-01,-5.029E+00
3.68200E-01,-4.829E+00
3.68220E-01,-5.029E+00
3.68240E-01,-4.829E+00
3.68260E-01,-4.829E+00
3.68280E-01,-4.829E+00
3.68300E-01,-4.829E+00
3.68320E-01,-4.829E+00
3.68340E-01,-5.029E+00
3.68360E-01,-4.829E+00
3.68380E-01,-5.029E+00
3.68400E-01,-5.029E+00
3.68420E-01,-5.029E+00
3.68440E-01,-5.029E+00
3.68460E-01,-4.829E+00
3.68480E-01,-5.029E+00
3.68500E-01,-4.829E+00
3.68520E-01,-5.029E+00
3.68540E-01,-4.829E+00
3.68560E-01,-5.029E+00
3.68580E-01,-5.029E+00
3.68600E-01,-4.829E+00
3.68620E-01,-5.029E+00
3.68640E-01,-5.029E+00
3.68660E-01,-4.829E+00
3.68680E-01,-5.029E+00
3.68700E-01,-5.029E+00
3.68720E-01,-4.829E+00
3.68740E-01,-5.029E+00
3.68760E-01,-4.829E+00
3.68780E-01,-5.029E+00
3.68800E-01,-4.829E+00
3.68820E-01,-5.029E+00
3.68840E-01,-5.029E+00
3.68860E-01,-4.829E+00
3.68880E-01,-5.029E+00
3.68900E-01,-4.829E+00
3.68920E-01,-4.829E+00
3.68940E-01,-4.829E+00
3.68960E-01,-5.029E+00
3.68980E-01,-4.829E+00
3.69000E-01,-5.029E+00
3.69020E-01,-4.829E+00
3.69040E-01,-4.829E+00
3.69060E-01,-4.829E+00
3.69080E-01,-4.829E+00
3.69100E-01,-4.829E+00
3.69120E-01,-5.029E+00
3.69140E-01,-4.829E+00
3.69160E-01,-5.029E+00
3.69180E-01,-4.829E+00
3.69200E-01,-5.029E+00
3.69220E-01,-5.029E+00
3.69240E-01,-5.029E+00
3.69260E-01,-5.029E+00
3.69280E-01,-5.029E+00
3.69300E-01,-5.229E+00
3.69320E-01,-5.029E+00
3.69340E-01,-5.029E+00
3.69360E-01,-5.029E+00
3.69380E-01,-5.029E+00
3.69400E-01,-5.029E+00
3.69420E-01,-4.829E+00
3.69440E-01,-5.029E+00
3.69460E-01,-5.029E+00
3.69480E-01,-4.829E+00
3.69500E-01,-4.829E+00
3.69520E-01,-5.029E+00
3.69540E-01,-4.829E+00
3.69560E-01,-4.829E+00
3.69580E-01,-5.029E+00
3.69600E-01,-4.829E+00
3.69620E-01,-5.029E+00
3.69640E-01,-4.829E+00
3.69660E-01,-5.029E+00
3.69680E-01,-5.029E+00
3.69700E-01,-4.829E+00
3.69720E-01,-5.029E+00
3.69740E-01,-4.829E+00
3.69760E-01,-4.829E+00
3.69780E-01,-4.829E+00
3.69800E-01,-5.029E+00
3.69820E-01,-5.029E+00
3.69840E-01,-4.829E+00
3.69860E-01,-4.829E+00
3.69880E-01,-5.029E+00
3.69900E-01,-5.029E+00
3.69920E-01,-5.029E+00
3.69940E-01,-5.029E+00
3.69960E-01,-5.029E+00
3.69980E-01,-4.829E+00
3.70000E-01,-5.029E+00
3.70020E-01,-5.029E+00
3.70040E-01,-5.029E+00
3.70060E-01,-4.829E+00
3.70080E-01,-5.029E+00
3.70100E-01,-5.029E+00
3.70120E-01,-5.029E+00
3.70140E-01,-4.829E+00
3.70160E-01,-5.029E+00
3.70180E-01,-4.829E+00
3.70200E-01,-5.029E+00
3.70220E-01,-5.029E+00
3.70240E-01,-5.029E+00
3.70260E-01,-4.829E+00
3.70280E-01,-5.029E+00
3.70300E-01,-5.029E+00
3.70320E-01,-5.029E+00
3.70340E-01,-5.029E+00
3.70360E-01,-4.829E+00
3.70380E-01,-5.229E+00
3.70400E-01,-5.029E+00
3.70420E-01,-5.029E+00
3.70440E-01,-4.829E+00
3.70460E-01,-5.029E+00
3.70480E-01,-5.029E+00
3.70500E-01,-5.029E+00
3.70520E-01,-5.029E+00
3.70540E-01,-5.029E+00
3.70560E-01,-5.029E+00
3.70580E-01,-5.029E+00
3.70600E-01,-5.029E+00
3.70620E-01,-5.029E+00
3.70640E-01,-4.829E+00
3.70660E-01,-5.029E+00
3.70680E-01,-5.029E+00
3.70700E-01,-5.029E+00
3.70720E-01,-4.829E+00
3.70740E-01,-5.029E+00
3.70760E-01,-5.029E+00
3.70780E-01,-5.029E+00
3.70800E-01,-4.829E+00
3.70820E-01,-5.029E+00
3.70840E-01,-5.029E+00
3.70860E-01,-5.029E+00
3.70880E-01,-4.829E+00
3.70900E-01,-5.029E+00
3.70920E-01,-4.829E+00
3.70940E-01,-5.029E+00
3.70960E-01,-5.029E+00
3.70980E-01,-5.029E+00
3.71000E-01,-4.829E+00
3.71020E-01,-5.029E+00
3.71040E-01,-4.829E+00
3.71060E-01,-5.029E+00
3.71080E-01,-4.829E+00
3.71100E-01,-4.829E+00
3.71120E-01,-4.829E+00
3.71140E-01,-5.029E+00
3.71160E-01,-5.029E+00
3.71180E-01,-4.829E+00
3.71200E-01,-5.029E+00
3.71220E-01,-5.029E+00
3.71240E-01,-4.829E+00
3.71260E-01,-5.029E+00
3.71280E-01,-4.829E+00
3.71300E-01,-5.029E+00
3.71320E-01,-4.829E+00
3.71340E-01,-5.229E+00
3.71360E-01,-4.829E+00
3.71380E-01,-5.029E+00
3.71400E-01,-5.029E+00
3.71420E-01,-5.029E+00
3.71440E-01,-4.829E+00
3.71460E-01,-4.829E+00
3.71480E-01,-4.829E+00
3.71500E-01,-5.029E+00
3.71520E-01,-5.029E+00
3.71540E-01,-5.029E+00
3.71560E-01,-5.029E+00
3.71580E-01,-5.229E+00
3.71600E-01,-4.829E+00
3.71620E-01,-4.829E+00
3.71640E-01,-4.829E+00
3.71660E-01,-4.829E+00
3.71680E-01,-4.829E+00
3.71700E-01,-4.829E+00
3.71720E-01,-5.029E+00
3.71740E-01,-4.829E+00
3.71760E-01,-4.829E+00
3.71780E-01,-4.829E+00
3.71800E-01,-5.229E+00
3.71820E-01,-5.029E+00
3.71840E-01,-5.029E+00
3.71860E-01,-5.029E+00
3.71880E-01,-5.029E+00
3.71900E-01,-5.029E+00
3.71920E-01,-4.829E+00
3.71940E-01,-5.029E+00
3.71960E-01,-4.829E+00
3.71980E-01,-5.029E+00
3.72000E-01,-4.829E+00
3.72020E-01,-5.029E+00
3.72040E-01,-4.829E+00
3.72060E-01,-5.029E+00
3.72080E-01,-5.029E+00
3.72100E-01,-4.829E+00
3.72120E-01,-5.029E+00
3.72140E-01,-4.829E+00
3.72160E-01,-5.029E+00
3.72180E-01,-5.029E+00
3.72200E-01,-5.029E+00
3.72220E-01,-5.029E+00
3.72240E-01,-4.829E+00
3.72260E-01,-4.829E+00
3.72280E-01,-5.029E+00
3.72300E-01,-5.029E+00
3.72320E-01,-4.829E+00
3.72340E-01,-5.029E+00
3.72360E-01,-5.029E+00
3.72380E-01,-5.029E+00
3.72400E-01,-4.829E+00
3.72420E-01,-4.829E+00
3.72440E-01,-5.029E+00
3.72460E-01,-5.029E+00
3.72480E-01,-4.829E+00
3.72500E-01,-5.029E+00
3.72520E-01,-5.029E+00
3.72540E-01,-4.829E+00
3.72560E-01,-4.829E+00
3.72580E-01,-5.029E+00
3.72600E-01,-4.829E+00
3.72620E-01,-5.029E+00
3.72640E-01,-5.029E+00
3.72660E-01,-5.029E+00
3.72680E-01,-5.029E+00
3.72700E-01,-4.829E+00
3.72720E-01,-5.029E+00
3.72740E-01,-4.829E+00
3.72760E-01,-4.829E+00
3.72780E-01,-5.229E+00
3.72800E-01,-5.029E+00
3.72820E-01,-5.029E+00
3.72840E-01,-4.829E+00
3.72860E-01,-4.829E+00
3.72880E-01,-4.829E+00
3.72900E-01,-5.029E+00
3.72920E-01,-5.029E+00
3.72940E-01,-4.829E+00
3.72960E-01,-5.029E+00
3.72980E-01,-5.029E+00
3.73000E-01,-4.829E+00
3.73020E-01,-5.229E+00
3.73040E-01,-4.829E+00
3.73060E-01,-5.029E+00
3.73080E-01,-4.829E+00
