[s],CH1[V]
6.15440E-02,4.845E-04
6.15480E-02,4.845E-04
6.15520E-02,8.485E-03
6.15560E-02,8.485E-03
6.15600E-02,-7.515E-03
6.15640E-02,-7.515E-03
6.15680E-02,-1.552E-02
6.15720E-02,-7.515E-03
6.15760E-02,-1.552E-02
6.15800E-02,-1.552E-02
6.15840E-02,-1.552E-02
6.15880E-02,-7.515E-03
6.15920E-02,-7.515E-03
6.15960E-02,4.845E-04
6.16000E-02,-1.552E-02
6.16040E-02,-7.515E-03
6.16080E-02,-7.515E-03
6.16120E-02,-7.515E-03
6.16160E-02,-7.515E-03
6.16200E-02,-7.515E-03
6.16240E-02,-7.515E-03
6.16280E-02,-7.515E-03
6.16320E-02,4.845E-04
6.16360E-02,-7.515E-03
6.16400E-02,-7.515E-03
6.16440E-02,-7.515E-03
6.16480E-02,-7.515E-03
6.16520E-02,4.845E-04
6.16560E-02,-1.552E-02
6.16600E-02,-1.552E-02
6.16640E-02,-7.515E-03
6.16680E-02,-7.515E-03
6.16720E-02,-7.515E-03
6.16760E-02,-7.515E-03
6.16800E-02,-1.552E-02
6.16840E-02,-1.552E-02
6.16880E-02,-1.552E-02
6.16920E-02,-1.552E-02
6.16960E-02,-7.515E-03
6.17000E-02,-1.552E-02
6.17040E-02,-1.552E-02
6.17080E-02,-1.552E-02
6.17120E-02,-1.552E-02
6.17160E-02,-1.552E-02
6.17200E-02,-7.515E-03
6.17240E-02,-1.552E-02
6.17280E-02,-1.552E-02
6.17320E-02,-1.552E-02
6.17360E-02,-2.352E-02
6.17400E-02,-3.152E-02
6.17440E-02,-1.552E-02
6.17480E-02,-1.552E-02
6.17520E-02,-1.552E-02
6.17560E-02,-3.152E-02
6.17600E-02,-3.152E-02
6.17640E-02,-2.352E-02
6.17680E-02,-1.552E-02
6.17720E-02,-2.352E-02
6.17760E-02,-1.552E-02
6.17800E-02,-1.552E-02
6.17840E-02,-1.552E-02
6.17880E-02,-7.515E-03
6.17920E-02,-7.515E-03
6.17960E-02,-1.552E-02
6.18000E-02,-7.515E-03
6.18040E-02,-7.515E-03
6.18080E-02,-1.552E-02
6.18120E-02,-7.515E-03
6.18160E-02,-1.552E-02
6.18200E-02,-1.552E-02
6.18240E-02,-2.352E-02
6.18280E-02,-2.352E-02
6.18320E-02,-2.352E-02
6.18360E-02,-2.352E-02
6.18400E-02,-2.352E-02
6.18440E-02,-2.352E-02
6.18480E-02,-3.952E-02
6.18520E-02,-3.152E-02
6.18560E-02,-3.152E-02
6.18600E-02,-3.152E-02
6.18640E-02,-2.352E-02
6.18680E-02,-3.152E-02
6.18720E-02,-3.152E-02
6.18760E-02,-3.152E-02
6.18800E-02,-2.352E-02
6.18840E-02,-3.952E-02
6.18880E-02,-3.152E-02
6.18920E-02,-2.352E-02
6.18960E-02,-3.152E-02
6.19000E-02,-2.352E-02
6.19040E-02,-3.152E-02
6.19080E-02,-3.152E-02
6.19120E-02,-3.152E-02
6.19160E-02,-3.952E-02
6.19200E-02,-3.152E-02
6.19240E-02,-3.152E-02
6.19280E-02,-2.352E-02
6.19320E-02,-2.352E-02
6.19360E-02,-3.152E-02
6.19400E-02,-3.952E-02
6.19440E-02,-3.952E-02
6.19480E-02,-3.952E-02
6.19520E-02,-3.952E-02
6.19560E-02,-4.752E-02
6.19600E-02,-4.752E-02
6.19640E-02,-5.552E-02
6.19680E-02,-4.752E-02
6.19720E-02,-5.552E-02
6.19760E-02,-5.552E-02
6.19800E-02,-6.352E-02
6.19840E-02,-6.352E-02
6.19880E-02,-7.152E-02
6.19920E-02,-6.352E-02
6.19960E-02,-6.352E-02
6.20000E-02,-7.152E-02
6.20040E-02,-7.952E-02
6.20080E-02,-7.952E-02
6.20120E-02,-8.752E-02
6.20160E-02,-8.752E-02
6.20200E-02,-7.952E-02
6.20240E-02,-9.552E-02
6.20280E-02,-9.552E-02
6.20320E-02,-1.035E-01
6.20360E-02,-1.035E-01
6.20400E-02,-9.552E-02
6.20440E-02,-1.115E-01
6.20480E-02,-1.035E-01
6.20520E-02,-1.115E-01
6.20560E-02,-1.115E-01
6.20600E-02,-1.195E-01
6.20640E-02,-1.275E-01
6.20680E-02,-1.355E-01
6.20720E-02,-1.355E-01
6.20760E-02,-1.515E-01
6.20800E-02,-1.595E-01
6.20840E-02,-1.675E-01
6.20880E-02,-1.675E-01
6.20920E-02,-1.835E-01
6.20960E-02,-1.915E-01
6.21000E-02,-1.995E-01
6.21040E-02,-2.155E-01
6.21080E-02,-2.315E-01
6.21120E-02,-2.315E-01
6.21160E-02,-2.475E-01
6.21200E-02,-2.555E-01
6.21240E-02,-2.875E-01
6.21280E-02,-2.875E-01
6.21320E-02,-3.035E-01
6.21360E-02,-3.195E-01
6.21400E-02,-3.275E-01
6.21440E-02,-3.435E-01
6.21480E-02,-3.595E-01
6.21520E-02,-3.755E-01
6.21560E-02,-3.915E-01
6.21600E-02,-3.995E-01
6.21640E-02,-4.155E-01
6.21680E-02,-4.315E-01
6.21720E-02,-4.555E-01
6.21760E-02,-4.635E-01
6.21800E-02,-4.875E-01
6.21840E-02,-5.115E-01
6.21880E-02,-5.355E-01
6.21920E-02,-5.355E-01
6.21960E-02,-5.675E-01
6.22000E-02,-5.755E-01
6.22040E-02,-5.995E-01
6.22080E-02,-6.155E-01
6.22120E-02,-6.395E-01
6.22160E-02,-6.635E-01
6.22200E-02,-6.795E-01
6.22240E-02,-7.035E-01
6.22280E-02,-7.115E-01
6.22320E-02,-7.275E-01
6.22360E-02,-7.435E-01
6.22400E-02,-7.595E-01
6.22440E-02,-7.755E-01
6.22480E-02,-7.915E-01
6.22520E-02,-7.915E-01
6.22560E-02,-7.995E-01
6.22600E-02,-8.075E-01
6.22640E-02,-8.075E-01
6.22680E-02,-8.075E-01
6.22720E-02,-8.075E-01
6.22760E-02,-7.915E-01
6.22800E-02,-7.915E-01
6.22840E-02,-7.835E-01
6.22880E-02,-7.675E-01
6.22920E-02,-7.435E-01
6.22960E-02,-7.275E-01
6.23000E-02,-6.955E-01
6.23040E-02,-6.715E-01
6.23080E-02,-6.395E-01
6.23120E-02,-6.075E-01
6.23160E-02,-5.675E-01
6.23200E-02,-5.195E-01
6.23240E-02,-4.955E-01
6.23280E-02,-4.555E-01
6.23320E-02,-4.075E-01
